WORK_OBJECT_AVAILABLE_DATE|BO_Team|WORK_OBJECT_ID_Count|Team Location
2015-01-03|OB_LIFE_BEREAVEMENTS||England
2015-01-03|OPAL_BEREAVEMENTS||England
2015-01-03|PCPS_PCRS||England
2015-01-03|PG_SERV|1|England
2015-01-03|POLICY HOLDER - LIFE (NW) MUMBAI||Offshore
2015-01-03|POLICY HOLDER - LIFE (OB) MUMBAI||Offshore
2015-01-03|PRUBOND||England
2015-01-03|PRUBOND NBS (DGT)||Offshore
2015-01-03|PRUBOND SERVICING & CLAIMS MUMBAI|117|Offshore
2015-01-03|PRUBONDS NEW BUSINESS||Offshore
2015-01-03|PRUFUND_BEREAVEMENTS||England
2015-01-03|RIG & PH PP MUMBAI|86|Offshore
2015-01-03|RP|13|England
2015-01-03|RP_BEREAVEMENTS||England
2015-01-03|RPPAP MUMBAI|5|Offshore
2015-01-03|RPTB|1|England
2015-01-03|SCHEME NORTH MUMBAI|6|Offshore
2015-01-03|SERVICING|46|Offshore
2015-01-03|SHP_CLAIMS||England
2015-01-03|SHP_GPP_SERVICING|23|England
2015-01-03|SHP_MPP_FC|3|England
2015-01-03|SHP_MPP_REVISIONS||England
2015-01-03|TEACHERS||England
2015-01-04|ADVISER - LIFE (CH) MUMBAI||Offshore
2015-01-04|ANNUITIES SERVICING||Offshore
2015-01-04|AVC MUMBAI|3|Offshore
2015-01-04|AVC_CLAIMS||England
2015-01-04|AVC_REVISIONS||England
2015-01-04|AVC_SERVICING||England
2015-01-04|BEREAVEMENTS||Offshore
2015-01-04|CDR DSS||Offshore
2015-01-04|CDT MUMBAI||Offshore
2015-01-04|CORPORATE PENSIONS||Offshore
2015-01-04|CORPORATE_PENSIONS||England
2015-01-04|DA ADMIN||Offshore
2015-01-04|EPP_MK1||England
2015-01-04|EPP_MK2-4||England
2015-01-04|IB PAY & SERVICING MUMBAI||Offshore
2015-01-04|IB_BEREAVEMENTS||England
2015-01-04|ILLUSTRATIONS MUMBAI|2|Offshore
2015-01-04|IPM FSAVC MUMBAI|34|Offshore
2015-01-04|MPP||England
2015-01-04|MPP_SCHEME_SERVICING|3|England
2015-01-04|NEW BUSINESS||Offshore
2015-01-04|NEW_WORLD_BEREAVEMENTS||England
2015-01-04|OB_LIFE_BEREAVEMENTS||England
2015-01-04|OPAL_BEREAVEMENTS||England
2015-01-04|PCPS_PCRS||England
2015-01-04|PG_SERV||England
2015-01-04|POLICY HOLDER - LIFE (NW) MUMBAI||Offshore
2015-01-04|POLICY HOLDER - LIFE (OB) MUMBAI||Offshore
2015-01-04|PRUBOND||England
2015-01-04|PRUBOND NBS (DGT)||Offshore
2015-01-04|PRUBOND SERVICING & CLAIMS MUMBAI||Offshore
2015-01-04|PRUBONDS NEW BUSINESS|1|Offshore
2015-01-04|PRUFUND_BEREAVEMENTS||England
2015-01-04|RIG & PH PP MUMBAI||Offshore
2015-01-04|RP||England
2015-01-04|RP_BEREAVEMENTS||England
2015-01-04|RPPAP MUMBAI||Offshore
2015-01-04|RPTB|1|England
2015-01-04|SCHEME NORTH MUMBAI|1|Offshore
2015-01-04|SERVICING||Offshore
2015-01-04|SHP_CLAIMS||England
2015-01-04|SHP_GPP_SERVICING|10|England
2015-01-04|SHP_MPP_FC|2|England
2015-01-04|SHP_MPP_REVISIONS||England
2015-01-04|TEACHERS||England
2015-01-05|ADVISER - LIFE (CH) MUMBAI|12|Offshore
2015-01-05|ANNUITIES SERVICING|303|Offshore
2015-01-05|AVC MUMBAI|1643|Offshore
2015-01-05|AVC_CLAIMS|17|England
2015-01-05|AVC_REVISIONS|32|England
2015-01-05|AVC_SERVICING|114|England
2015-01-05|BEREAVEMENTS|354|Offshore
2015-01-05|CDR DSS|9|Offshore
2015-01-05|CDT MUMBAI|489|Offshore
2015-01-05|CORPORATE PENSIONS|92|Offshore
2015-01-05|CORPORATE_PENSIONS|14|England
2015-01-05|DA ADMIN|94|Offshore
2015-01-05|EPP_MK1|30|England
2015-01-05|EPP_MK2-4|18|England
2015-01-05|IB PAY & SERVICING MUMBAI|448|Offshore
2015-01-05|IB_BEREAVEMENTS|250|England
2015-01-05|ILLUSTRATIONS MUMBAI|670|Offshore
2015-01-05|IPM FSAVC MUMBAI|80|Offshore
2015-01-05|MPP|4|England
2015-01-05|MPP_SCHEME_SERVICING|146|England
2015-01-05|NEW BUSINESS|105|Offshore
